	category	word1	word2	word3	word_ans	word_pred	cos
0	capital-common-countries	Athens	Greece	Baghdad	Iraq	Iraqi	0.635187029838562
1	capital-common-countries	Athens	Greece	Bangkok	Thailand	Thailand	0.7137669324874878
2	capital-common-countries	Athens	Greece	Beijing	China	China	0.7235778570175171
3	capital-common-countries	Athens	Greece	Berlin	Germany	Germany	0.6734622716903687
4	capital-common-countries	Athens	Greece	Bern	Switzerland	Switzerland	0.4919748306274414
5	capital-common-countries	Athens	Greece	Cairo	Egypt	Egypt	0.7527808547019958
6	capital-common-countries	Athens	Greece	Canberra	Australia	Australia	0.583732545375824
7	capital-common-countries	Athens	Greece	Hanoi	Vietnam	Viet_Nam	0.6276341676712036
8	capital-common-countries	Athens	Greece	Havana	Cuba	Cuba	0.6460990905761719
9	capital-common-countries	Athens	Greece	Helsinki	Finland	Finland	0.68999844789505
10	capital-common-countries	Athens	Greece	Islamabad	Pakistan	Pakistan	0.7233326435089111
11	capital-common-countries	Athens	Greece	Kabul	Afghanistan	Afghan	0.6160916090011597
12	capital-common-countries	Athens	Greece	London	England	Britain	0.5646188259124756
13	capital-common-countries	Athens	Greece	Madrid	Spain	Spain	0.703661322593689
14	capital-common-countries	Athens	Greece	Moscow	Russia	Russia	0.7382973432540894
15	capital-common-countries	Athens	Greece	Oslo	Norway	Norway	0.6470744013786316
16	capital-common-countries	Athens	Greece	Ottawa	Canada	Canada	0.5912168622016907
17	capital-common-countries	Athens	Greece	Paris	France	France	0.6724624633789062
18	capital-common-countries	Athens	Greece	Rome	Italy	Italy	0.6826190948486328
19	capital-common-countries	Athens	Greece	Stockholm	Sweden	Sweden	0.6757243871688843
20	capital-common-countries	Athens	Greece	Tehran	Iran	Iran	0.7671369910240173
21	capital-common-countries	Athens	Greece	Tokyo	Japan	Japan	0.7256094813346863
22	capital-common-countries	Baghdad	Iraq	Bangkok	Thailand	Thailand	0.6745355129241943
23	capital-common-countries	Baghdad	Iraq	Beijing	China	China	0.6915649175643921
24	capital-common-countries	Baghdad	Iraq	Berlin	Germany	Germany	0.6057409048080444
25	capital-common-countries	Baghdad	Iraq	Bern	Switzerland	coach_Bobby_Curlings	0.4347156882286072
26	capital-common-countries	Baghdad	Iraq	Cairo	Egypt	Egypt	0.6848487854003906
27	capital-common-countries	Baghdad	Iraq	Canberra	Australia	Mr_Rudd	0.6186109185218811
28	capital-common-countries	Baghdad	Iraq	Hanoi	Vietnam	Vietnam	0.7493551969528198
29	capital-common-countries	Baghdad	Iraq	Havana	Cuba	Cuba	0.7133255004882812
30	capital-common-countries	Baghdad	Iraq	Helsinki	Finland	Finland	0.5972561836242676
31	capital-common-countries	Baghdad	Iraq	Islamabad	Pakistan	Pakistan	0.7466936707496643
32	capital-common-countries	Baghdad	Iraq	Kabul	Afghanistan	Afghanistan	0.8359360098838806
33	capital-common-countries	Baghdad	Iraq	London	England	Britain	0.5853632688522339
34	capital-common-countries	Baghdad	Iraq	Madrid	Spain	Spain	0.6144676804542542
35	capital-common-countries	Baghdad	Iraq	Moscow	Russia	Russia	0.7236211895942688
36	capital-common-countries	Baghdad	Iraq	Oslo	Norway	Norway	0.5987579822540283
37	capital-common-countries	Baghdad	Iraq	Ottawa	Canada	Prime_Minister_Jean_Chrétien	0.5704856514930725
38	capital-common-countries	Baghdad	Iraq	Paris	France	France	0.6203721761703491
39	capital-common-countries	Baghdad	Iraq	Rome	Italy	Italy	0.5362658500671387
40	capital-common-countries	Baghdad	Iraq	Stockholm	Sweden	Sweden	0.5907803177833557
41	capital-common-countries	Baghdad	Iraq	Tehran	Iran	Iran	0.8114986419677734
